Data,Label
ভালোবাসার জীবন ফুল।,Metaphor
বৃক্ষের ছায়ায় শান্তি মেলে।,Metaphor
তোমার কথা হৃদয়ের তাপ।,Metaphor
আমার স্বপ্নগুলো মেঘের মতো উড়ে।,Metaphor
তার উপস্থিতি গানের মতো মিডিয়া।,Metaphor
তোমার মনের গুরুত্বপূর্ণ মন্তব্য।,Metaphor
তার চাওয়া আকাশ ছোঁয়া।,Metaphor
তার কথায় ছিল ঝড়ের গর্জন।,Metaphor
স্বপ্ন দেখা জীবননি।,Metaphor
সফলতা ধৈর্যের ফল।,Metaphor
বন্ধুর কথা হৃদয়ের আয়না।,Metaphor
তার স্বরে সুরের ঝর্ণা।,Metaphor
তার স্বপ্ন ছিল চাঁদের আলো।,Metaphor
তুমি আকাশের মতো অসীম।,Metaphor
তোমার হাসি আমার আলো।,Metaphor
তোমার হাসি আমার আলো।,Metaphor
মনের আকাশ মেঘে ঢাকা।,Metaphor
শিক্ষা জীবন পরিবর্তনের চাবিকাঠি।,Metaphor
তার চিন্তাধারা পাহাড়ের মত উচ্চ।,Metaphor
আমার রাত তুমি বৃষ্টির মতো শান্তি।,Metaphor
শৈশব সকাল সোনালী সকাল।,Metaphor
সময় মতো চলমান।,Metaphor
তোমার হাসি পাতা চাঁদের আলোর মতো।,Metaphor
জীবনপান গল্পের বই।,Metaphor
আমার নতুন বইটা খুব সুন্দর।,Metaphor
জ্ঞানহার মনেরপ্রদীপ।,Metaphor
তার কথা সুরের মতো মধুর।,Metaphor
প্রকৃতি আমাদের সেরা শিক্ষক।,Metaphor
বন্ধুত্ব রাখা।,Metaphor
মনের ভাবনা সূর্যের মত।,Metaphor
আমার জীবন স্রোতের মতো বয়ে যাচ্ছে,Metaphor
ভালো কাজ মানুষের হৃদয় জয় করে।,Metaphor
তুমি সূর্যের মতো আমার পথ দেখাও।,Metaphor
তোমার প্রেম আগুনের মতো উষ্ণ।,Metaphor
সে প্রতিদিন সকাল নির্দেশ।,Metaphor
তারনা ছিল প্রজা প্রজার ডা.,Metaphor
তার কথাগুলো আগুনের মতো জ্বলন্ত।,Metaphor
আমার স্বপ্নগুলো আকাশে উড়ে বেড়ায়।,Metaphor
তার গভীর সমুদ্র।,Metaphor
তোমার শব্দগুলো মধুর মতো।,Metaphor
আমার ভালোবাসার মতো গভীর।,Metaphor
তার স্বর বৃষ্টির মতো শান্ত।,Metaphor
তার সূর্যের আলো,Metaphor
আমার স্মৃতিগুলো বাতাসে উড়ে যায়,Metaphor
তার চিন্তা আকাশ ছুঁয়েছে।,Metaphor
তার কথায় হৃদয় নেচেছন।,Metaphor
পাখিটি গাছে গাছ আছে,Metaphor
আমার হৃদয়ের ফুলের মতো ফুটে পথ।,Metaphor
"তোমার মন পাহাড়ের মতো দৃঢ়,",Metaphor
প্রেম মনের রঙ।,Metaphor
জীবন এক পথের ঢেউ।,Metaphor
মনের কষ্ট জলে ভেসে যায়।,Metaphor
জীবন একটি কাব্য।,Metaphor
প্রেমের জীবন ফুল।,Metaphor
বৃক্ষের ছায়ায় শান্তি মেলে।,Metaphor
তোমার কথা হৃদয়ের তাপ।,Metaphor
আমার স্বপ্নগুলো মেঘের মতো উড়ে।,Metaphor
তার উপস্থিতি গানের মতো ভিডিও।,Metaphor
তোমার মনের গুরুত্বপূর্ণ মন্তব্য।,Metaphor
তার চাওয়া আকাশ ছোঁয়া।,Metaphor
তার কথায় ছিল ঝড়ের গর্জন।,Metaphor
স্বপ্ন দেখা জীবন।,Metaphor
সফলতা ধৈর্যের ফল।,Metaphor
বন্ধুর কথা হৃদয়ের আয়না।,Metaphor
তার স্বরে সুরের ঝর্ণা।,Metaphor
তার স্বপ্ন ছিল চাঁদের আলো।,Metaphor
তুমি আকাশের মতো অসীম।,Metaphor
তোমার হাসি আমার আলো।,Metaphor
তোমার হাসি আমার আলো।,Metaphor
মনের আকাশ মেঘে ঢাকা।,Metaphor
শিক্ষা জীবন পরিবর্তনের চাবিকাঠি।,Metaphor
তার চিন্তাধারা পাহাড়ের মত উচ্চ।,Metaphor
আমার রাত তুমি বৃষ্টির মতো শান্তি।,Metaphor
শৈশব সকাল সোনালী সকাল।,Metaphor
সময় মতো চলমান।,Metaphor
তোমার হাসি পাতা চাঁদের আলোর মতো।,Metaphor
জীবনপান গল্পের বই।,Metaphor
আমার নতুন বইটা খুব সুন্দর।,Metaphor
জ্ঞানহার মনেরপ্রদীপ।,Metaphor
তার কথা সুরের মতো মধুর।,Metaphor
প্রকৃতি আমাদের সেরা শিক্ষক।,Metaphor
বন্ধুত্ব রাখা।,Metaphor
মনের ভাবনা সূর্যের মত।,Metaphor
আমার জীবন স্রোতের মতো বয়ে যাচ্ছে,Metaphor
ভালো কাজ মানুষের হৃদয় জয় করে।,Metaphor
তুমি সূর্যের মতো আমার পথ দেখাও।,Metaphor
তোমার প্রেম আগুনের মতো উষ্ণ।,Metaphor
সে প্রতিদিন সকাল নির্দেশ।,Metaphor
তারনা ছিল প্রজা প্রজার ডা.,Metaphor
তার কথাগুলো আগুনের মতো জ্বলন্ত।,Metaphor
আমার স্বপ্নগুলো আকাশে উড়ে বেড়ায়।,Metaphor
তার গভীর সমুদ্র।,Metaphor
তোমার শব্দগুলো মধুর মতো।,Metaphor
আমার ভালোবাসার মতো গভীর।,Metaphor
তার স্বর বৃষ্টির মতো শান্ত।,Metaphor
তার সূর্যের আলো,Metaphor
আমার স্মৃতিগুলো বাতাসে উড়ে যায়,Metaphor
তার চিন্তা আকাশ ছুঁয়েছে।,Metaphor
তার কথায় হৃদয় নেচেছন।,Metaphor
পাখিটি গাছে গাছ আছে,Metaphor
আমার হৃদয়ের ফুলের মতো ফুটে পথ।,Metaphor
"তোমার মন পাহাড়ের মতো দৃঢ়,",Metaphor
প্রেম মনের রঙ।,Metaphor
জীবন এক পথের ঢেউ।,Metaphor
মনের কষ্ট জলে ভেসে যায়।,Metaphor
জীবন একটি কাব্য।,Metaphor
প্রেমের জীবন ফুল।,Metaphor
বৃক্ষের ছায়ায় শান্তি মেলে।,Metaphor
তোমার কথা হৃদয়ের তাপ।,Metaphor
আমার স্বপ্নগুলো মেঘের মতো উড়ে।,Metaphor
তার উপস্থিতি গানের মতো ভিডিও।,Metaphor
তোমার মনের গুরুত্বপূর্ণ মন্তব্য।,Metaphor
তার চাওয়া আকাশ ছোঁয়া।,Metaphor
তার কথায় ছিল ঝড়ের গর্জন।,Metaphor
স্বপ্ন দেখা জীবন।,Metaphor
সফলতা ধৈর্যের ফল।,Metaphor
বন্ধুর কথা হৃদয়ের আয়না।,Metaphor
তার স্বরে সুরের ঝর্ণা।,Metaphor
তার স্বপ্ন ছিল চাঁদের আলো।,Metaphor
তুমি আকাশের মতো অসীম।,Metaphor
তোমার হাসি আমার আলো।,Metaphor
তোমার হাসি আমার আলো।,Metaphor
মনের আকাশ মেঘে ঢাকা।,Metaphor
শিক্ষা জীবন পরিবর্তনের চাবিকাঠি।,Literal
তার চিন্তাধারা পাহাড়ের মত উচ্চ।,Literal
আমার রাত তুমি বৃষ্টির মতো শান্তি।,Literal
শৈশব সকাল সোনালী সকাল।,Literal
সময় মতো চলমান।,Literal
তোমার হাসি পাতা চাঁদের আলোর মতো।,Literal
জীবনপান গল্পের বই।,Literal
আমার নতুন বইটা খুব সুন্দর।,Literal
জ্ঞানহার মনেরপ্রদীপ।,Literal
তার কথা সুরের মতো মধুর।,Literal
প্রকৃতি আমাদের সেরা শিক্ষক।,Literal
বন্ধুত্ব রাখা।,Literal
মনের ভাবনা সূর্যের মত।,Literal
আমার জীবন স্রোতের মতো বয়ে যাচ্ছে,Literal
ভালো কাজ মানুষের হৃদয় জয় করে।,Literal
তুমি সূর্যের মতো আমার পথ দেখাও।,Literal
তোমার প্রেম আগুনের মতো উষ্ণ।,Literal
সে প্রতিদিন সকাল নির্দেশ।,Literal
তারনা ছিল প্রজা প্রজার ডা.,Literal
তার কথাগুলো আগুনের মতো জ্বলন্ত।,Literal
আমার স্বপ্নগুলো আকাশে উড়ে বেড়ায়।,Literal
তার গভীর সমুদ্র।,Literal
তোমার শব্দগুলো মধুর মতো।,Literal
আমার ভালোবাসার মতো গভীর।,Literal
তার স্বর বৃষ্টির মতো শান্ত।,Literal
তার সূর্যের আলো,Literal
আমার স্মৃতিগুলো বাতাসে উড়ে যায়,Literal
তার চিন্তা আকাশ ছুঁয়েছে।,Literal
তার কথায় হৃদয় নেচেছন।,Literal
পাখিটি গাছে গাছ আছে,Literal
আমার হৃদয়ের ফুলের মতো ফুটে পথ।,Literal
"তোমার মন পাহাড়ের মতো দৃঢ়,",Literal
প্রেম মনের রঙ।,Literal
জীবন এক পথের ঢেউ।,Literal
মনের কষ্ট জলে ভেসে যায়।,Literal
জীবন একটি কাব্য।,Literal
প্রেমের জীবন ফুল।,Literal
বৃক্ষের ছায়ায় শান্তি মেলে।,Literal
তোমার কথা হৃদয়ের তাপ।,Literal
আমার স্বপ্নগুলো মেঘের মতো উড়ে।,Literal
তার উপস্থিতি গানের মতো ভিডিও।,Literal
তোমার মনের গুরুত্বপূর্ণ মন্তব্য।,Literal
তার চাওয়া আকাশ ছোঁয়া।,Literal
তার কথায় ছিল ঝড়ের গর্জন।,Literal
স্বপ্ন দেখা জীবন।,Literal
সফলতা ধৈর্যের ফল।,Literal
বন্ধুর কথা হৃদয়ের আয়না।,Literal
তার স্বরে সুরের ঝর্ণা।,Literal
তার স্বপ্ন ছিল চাঁদের আলো।,Literal
তুমি আকাশের মতো অসীম।,Literal
তোমার হাসি আমার আলো।,Literal
তোমার হাসি আমার আলো।,Literal
মনের আকাশ মেঘে ঢাকা।,Literal
শিক্ষা জীবন পরিবর্তনের চাবিকাঠি।,Literal
তার চিন্তাধারা পাহাড়ের মত উচ্চ।,Literal
আমার রাত তুমি বৃষ্টির মতো শান্তি।,Literal
শৈশব সকাল সোনালী সকাল।,Literal
সময় মতো চলমান।,Literal
তোমার হাসি পাতা চাঁদের আলোর মতো।,Literal
জীবনপান গল্পের বই।,Literal
আমার নতুন বইটা খুব সুন্দর।,Literal
জ্ঞানহার মনেরপ্রদীপ।,Literal
তার কথা সুরের মতো মধুর।,Literal
প্রকৃতি আমাদের সেরা শিক্ষক।,Literal
বন্ধুত্ব রাখা।,Literal
মনের ভাবনা সূর্যের মত।,Literal
আমার জীবন স্রোতের মতো বয়ে যাচ্ছে,Literal
ভালো কাজ মানুষের হৃদয় জয় করে।,Literal
তুমি সূর্যের মতো আমার পথ দেখাও।,Literal
তোমার প্রেম আগুনের মতো উষ্ণ।,Literal
সে প্রতিদিন সকাল নির্দেশ।,Literal
তারনা ছিল প্রজা প্রজার ডা.,Literal
তার কথাগুলো আগুনের মতো জ্বলন্ত।,Literal
আমার স্বপ্নগুলো আকাশে উড়ে বেড়ায়।,Literal
তার গভীর সমুদ্র।,Literal
তোমার শব্দগুলো মধুর মতো।,Literal
আমার ভালোবাসার মতো গভীর।,Literal
তার স্বর বৃষ্টির মতো শান্ত।,Literal
তার সূর্যের আলো,Literal
আমার স্মৃতিগুলো বাতাসে উড়ে যায়,Literal
তার চিন্তা আকাশ ছুঁয়েছে।,Literal
তার কথায় হৃদয় নেচেছন।,Literal
পাখিটি গাছে গাছ আছে,Literal
আমার হৃদয়ের ফুলের মতো ফুটে পথ।,Literal
"তোমার মন পাহাড়ের মতো দৃঢ়,",Literal
প্রেম মনের রঙ।,Literal
জীবন এক পথের ঢেউ।,Literal
মনের কষ্ট জলে ভেসে যায়।,Literal
জীবন একটি কাব্য।,Literal
প্রেমের জীবন ফুল।,Literal
বৃক্ষের ছায়ায় শান্তি মেলে।,Literal
তোমার কথা হৃদয়ের তাপ।,Literal
আমার স্বপ্নগুলো মেঘের মতো উড়ে।,Literal
তার উপস্থিতি গানের মতো ভিডিও।,Literal
তোমার মনের গুরুত্বপূর্ণ মন্তব্য।,Literal
তার চাওয়া আকাশ ছোঁয়া।,Literal
তার কথায় ছিল ঝড়ের গর্জন।,Literal
স্বপ্ন দেখা জীবন।,Literal
সফলতা ধৈর্যের ফল।,Literal
বন্ধুর কথা হৃদয়ের আয়না।,Literal
তার স্বরে সুরের ঝর্ণা।,Literal
তার স্বপ্ন ছিল চাঁদের আলো।,Literal
তুমি আকাশের মতো অসীম।,Literal
তোমার হাসি আমার আলো।,Literal
তোমার হাসি আমার আলো।,Literal
মনের আকাশ মেঘে ঢাকা।,Literal
শিক্ষা জীবন পরিবর্তনের চাবিকাঠি।,Literal
তার চিন্তাধারা পাহাড়ের মত উচ্চ।,Literal
আমার রাত তুমি বৃষ্টির মতো শান্তি।,Literal
শৈশব সকাল সোনালী সকাল।,Literal
সময় মতো চলমান।,Literal
তোমার হাসি পাতা চাঁদের আলোর মতো।,Literal
জীবনপান গল্পের বই।,Literal
আমার নতুন বইটা খুব সুন্দর।,Literal
জ্ঞানহার মনেরপ্রদীপ।,Literal
তার কথা সুরের মতো মধুর।,Literal
প্রকৃতি আমাদের সেরা শিক্ষক।,Literal
বন্ধুত্ব রাখা।,Literal
মনের ভাবনা সূর্যের মত।,Literal
আমার জীবন স্রোতের মতো বয়ে যাচ্ছে,Literal
ভালো কাজ মানুষের হৃদয় জয় করে।,Literal
তুমি সূর্যের মতো আমার পথ দেখাও।,Literal
তোমার প্রেম আগুনের মতো উষ্ণ।,Literal
সে প্রতিদিন সকাল নির্দেশ।,Literal
তারনা ছিল প্রজা প্রজার ডা.,Literal
তার কথাগুলো আগুনের মতো জ্বলন্ত।,Literal
আমার স্বপ্নগুলো আকাশে উড়ে বেড়ায়।,Literal
তার গভীর সমুদ্র।,Literal
তোমার শব্দগুলো মধুর মতো।,Literal
আমার ভালোবাসার মতো গভীর।,Literal
তার স্বর বৃষ্টির মতো শান্ত।,Literal
তার সূর্যের আলো,Literal
আমার স্মৃতিগুলো বাতাসে উড়ে যায়,Literal
তার চিন্তা আকাশ ছুঁয়েছে।,Literal
তার কথায় হৃদয় নেচেছন।,Literal
পাখিটি গাছে গাছ আছে,Literal
আমার হৃদয়ের ফুলের মতো ফুটে পথ।,Literal
"তোমার মন পাহাড়ের মতো দৃঢ়,",Literal
প্রেম মনের রঙ।,Literal
জীবন এক পথের ঢেউ।,Literal
মনের কষ্ট জলে ভেসে যায়।,Literal
জীবন একটি কাব্য।,Literal
প্রেমের জীবন ফুল।,Literal
বৃক্ষের ছায়ায় শান্তি মেলে।,Literal
তোমার কথা হৃদয়ের তাপ।,Literal
আমার স্বপ্নগুলো মেঘের মতো উড়ে।,Literal
তার উপস্থিতি গানের মতো ভিডিও।,Literal
তোমার মনের গুরুত্বপূর্ণ মন্তব্য।,Literal
তার চাওয়া আকাশ ছোঁয়া।,Literal
তার কথায় ছিল ঝড়ের গর্জন।,Literal
স্বপ্ন দেখা জীবন।,Literal
সফলতা ধৈর্যের ফল।,Literal
বন্ধুর কথা হৃদয়ের আয়না।,Literal
তার স্বরে সুরের ঝর্ণা।,Literal
তার স্বপ্ন ছিল চাঁদের আলো।,Literal
তুমি আকাশের মতো অসীম।,Literal
তোমার হাসি আমার আলো।,Literal
তোমার হাসি আমার আলো।,Literal
মনের আকাশ মেঘে ঢাকা।,Literal
শিক্ষা জীবন পরিবর্তনের চাবিকাঠি।,Literal
তার চিন্তাধারা পাহাড়ের মত উচ্চ।,Literal
আমার রাত তুমি বৃষ্টির মতো শান্তি।,Literal
শৈশব সকাল সোনালী সকাল।,Literal
সময় মতো চলমান।,Literal
তোমার হাসি পাতা চাঁদের আলোর মতো।,Literal
জীবনপান গল্পের বই।,Literal
আমার নতুন বইটা খুব সুন্দর।,Literal
জ্ঞানহার মনেরপ্রদীপ।,Literal
তার কথা সুরের মতো মধুর।,Literal
প্রকৃতি আমাদের সেরা শিক্ষক।,Literal
বন্ধুত্ব রাখা।,Literal
মনের ভাবনা সূর্যের মত।,Literal
আমার জীবন স্রোতের মতো বয়ে যাচ্ছে,Literal
ভালো কাজ মানুষের হৃদয় জয় করে।,Literal
তুমি সূর্যের মতো আমার পথ দেখাও।,Literal
তোমার প্রেম আগুনের মতো উষ্ণ।,Literal
সে প্রতিদিন সকাল নির্দেশ।,Literal
তারনা ছিল প্রজা প্রজার ডা.,Literal
তার কথাগুলো আগুনের মতো জ্বলন্ত।,Literal
আমার স্বপ্নগুলো আকাশে উড়ে বেড়ায়।,Literal
তার গভীর সমুদ্র।,Literal
তোমার শব্দগুলো মধুর মতো।,Literal
আমার ভালোবাসার মতো গভীর।,Literal
তার স্বর বৃষ্টির মতো শান্ত।,Literal
তার সূর্যের আলো,Literal
আমার স্মৃতিগুলো বাতাসে উড়ে যায়,Literal
তার চিন্তা আকাশ ছুঁয়েছে।,Literal
তার কথায় হৃদয় নেচেছন।,Literal
পাখিটি গাছে গাছ আছে,Literal
আমার হৃদয়ের ফুলের মতো ফুটে পথ।,Literal
"তোমার মন পাহাড়ের মতো দৃঢ়,",Literal
প্রেম মনের রঙ।,Literal
জীবন এক পথের ঢেউ।,Literal
মনের কষ্ট জলে ভেসে যায়।,Literal
জীবন একটি কাব্য।,Literal
প্রেমের জীবন ফুল।,Literal
বৃক্ষের ছায়ায় শান্তি মেলে।,Literal
তোমার কথা হৃদয়ের তাপ।,Literal
আমার স্বপ্নগুলো মেঘের মতো উড়ে।,Literal
তার উপস্থিতি গানের মতো ভিডিও।,Literal
তোমার মনের গুরুত্বপূর্ণ মন্তব্য।,Literal
তার চাওয়া আকাশ ছোঁয়া।,Literal
তার কথায় ছিল ঝড়ের গর্জন।,Literal
স্বপ্ন দেখা জীবন।,Literal
সফলতা ধৈর্যের ফল।,Literal
বন্ধুর কথা হৃদয়ের আয়না।,Literal
তার স্বরে সুরের ঝর্ণা।,Literal
তার স্বপ্ন ছিল চাঁদের আলো।,Literal
তুমি আকাশের মতো অসীম।,Literal
তোমার হাসি আমার আলো।,Literal
মনের আকাশ মেঘে ঢাকা।,Literal
শিক্ষা জীবন পরিবর্তনের চাবিকাঠি।,Literal
তার চিন্তাধারা পাহাড়ের মত উচ্চ।,Literal
আমার রাত তুমি বৃষ্টির মতো শান্তি।,Literal
শৈশব সকাল সোনালী সকাল।,Literal
সময় মতো চলমান।,Literal
তোমার হাসি পাতা চাঁদের আলোর মতো।,Literal
জীবনপান গল্পের বই।,Literal
আমার নতুন বইটা খুব সুন্দর।,Literal
জ্ঞানহার মনেরপ্রদীপ।,Literal
তার কথা সুরের মতো মধুর।,Literal
প্রকৃতি আমাদের সেরা শিক্ষক।,Literal
বন্ধুত্ব রাখা।,Literal
মনের ভাবনা সূর্যের মত।,Literal
আমার জীবন স্রোতের মতো বয়ে যাচ্ছে,Literal
ভালো কাজ মানুষের হৃদয় জয় করে।,Literal
তুমি সূর্যের মতো আমার পথ দেখাও।,Literal
তোমার প্রেম আগুনের মতো উষ্ণ।,Literal
সে প্রতিদিন সকাল নির্দেশ।,Literal
তারনা ছিল প্রজা প্রজার ডা.,Literal
পৃথিবী একটি মঞ্চ।,Metaphor
তার হৃদয় সোনার মতো।,Metaphor
বিড়ালটি ছাদে আছে।,Literal
সময় চলে যাচ্ছে।,Metaphor
সে দোকানে গেল।,Literal
বৃষ্টি হচ্ছে কুকুর-বিড়াল।,Metaphor
বইটি টেবিলে আছে।,Literal
সে রাতের পাখি।,Metaphor
সে একটি উপন্যাস পড়ছে।,Literal
জীবন একটি যাত্রা।,Metaphor
তার চোখে আকাশের নীলতা।,Metaphor
আমি দুপুরে খাওয়া করেছি।,Literal
সময়ের সাথে সাথে সবকিছু বদলে যায়।,Metaphor
গাড়িটি রাস্তার উপর চলছে।,Literal
তার হাসি সূর্যের আলো।,Metaphor
তারা মাঠে খেলছে।,Literal
সে একটি পাথরের মতো শক্ত।,Metaphor
আমরা সিনেমা দেখতে যাচ্ছি।,Literal
তার কথা হলো সুরের মতো মিষ্টি।,Metaphor
আমি সকালে উঠে ব্যায়াম করেছি।,Literal
এই শহরটি একটি জঙ্গল।,Metaphor
সে বইয়ের পাতা উল্টাচ্ছে।,Literal
তার মন হলো একটি সমুদ্রের মতো গভীর।,Metaphor
আমি বাজারে গিয়েছিলাম।,Literal
প্রেম হলো একটি ফুলের মতো সুন্দর।,Metaphor
শিশুটি খেলনা নিয়ে খেলছে।,Literal
তার কথা হলো বাণীর মতো প্রভাবশালী।,Metaphor
আমরা বিকেলে চা খেতে বসেছি।,Literal
"জীবন হলো একটি বই, প্রতিটি পৃষ্ঠা নতুন গল্প।",Metaphor
সে স্কুলে যাচ্ছে প্রতিদিন।,Literal
আশা হলো একটি দীপশিখা।,Metaphor
তারা পার্কে হাঁটছে।,Literal
তার চোখে অন্ধকারের গভীরতা আছে।,Metaphor
আমি কাজ করছি এখনই।,Literal
তুমি আমার জীবনের আলো।,Metaphor
সে টেলিফোনে কথা বলছে।,Literal
আমাদের বন্ধুত্ব হলো একটি শক্তিশালী বাঁধন।,Metaphor
তিনি ডাক্তার হিসেবে কাজ করেন।,Literal
আশা হলো একটি নতুন সূর্যোদয়।,Metaphor
আমি আজকে সিনেমা দেখব না।,Literal
তার হাসি হলো এক টুকরো মেঘের মতো সাদা।,Metaphor
তারা বাসায় ফিরে এসেছে।,Literal
সময় হলো একটি মূল্যবান রত্ন।,Metaphor
আমি বই পড়ছি এখনই।,Literal
প্রেম হলো একটি নদীর মতো প্রবাহিত হয়।,Metaphor
তারা খাবার খাচ্ছে এখনই।,Literal
তার কথা হলো বৃষ্টির মতো নরম ও শান্তিপূর্ণ।,Metaphor
আমি সকালে উঠে হাঁটতে বের হয়েছিলাম।,Literal
"জীবন হলো একটি খেলা, আমাদের অংশগ্রহণ করতে হবে ।",Metaphor
সে প্রতিদিন সকালে ঘুম থেকে ওঠে ।,Literal
"জীবন হলো একটি বই, প্রতিটি পৃষ্ঠা নতুন।",Metaphor
সে গাছের নিচে বসে আছে।,Literal
তার হাসি হলো সূর্যের আলো।,Metaphor
আমি আজকে বাজারে গিয়েছিলাম।,Literal
আশা হলো একটি নতুন সূর্যোদয়।,Metaphor
তারা স্কুলে যাচ্ছে।,Literal
প্রেম হলো একটি ফুলের মতো সুন্দর।,Metaphor
আমি বই পড়ছি।,Literal
সময় হলো একটি মূল্যবান রত্ন।,Metaphor
সে খেলার মাঠে খেলছে।,Literal
তার চোখে অন্ধকারের গভীরতা আছে।,Metaphor
আমরা সিনেমা দেখতে যাচ্ছি।,Literal
"জীবন একটি যাত্রা, প্রতিটি পদক্ষেপ নতুন।",Metaphor
সে টেলিফোনে কথা বলছে।,Literal
তার মন হলো সমুদ্রের মতো গভীর।,Metaphor
